Ship Name,Year,Location,Cause,Lives Lost,Ship Value,Cargo Value,Vessel Type
Ann J Trainer shipwreck (1894),1894,Absecon,"Collision w/ ""S E Marvin""",0,15000.0,519.0,Schooner
Ann Jane shipwreck (1808),1808,Cape May,Stranded & bilged,0,,,Brig
Ann Jane Laughlin shipwreck (1890),1890,Sandy Hook Bay,Burned,0,7000.0,,Tug steam
Ann Louisa Lockwood shipwreck (1884),1884,Hereford Inlet South bar,Grounded,0,12000.0,,Schooner
Ann Marie Tracy shipwreck (1948),1948,Hudson River,"Collision w/ ""Eliza J Nicholson""",0,,,Tug
Ann S Brown shipwreck (1873),1873,Sandy Hook,Stranded,0,,,Schooner
Ann S Cannon shipwreck (1878),1878,Little Egg Harbor Inlet,Stranded,0,10000.0,600.0,Schooner
Ann W Baker shipwreck (1853),1853,Five Fathom Bank Lightship N 2 mi,Sank,0,,,Schooner
Anna (1872) shipwreck (1872),1872,Highlands SSE 16 mi,"Collision w/ ""Narragansett""",0,,,Brig
Anna (1885) shipwreck (1885),1885,Seabright LSS S .5 mi,Stranded,0,7000.0,40000.0,Bark
Anna (1916) shipwreck (1916),1916,"Ocean City, NJ",Stranded,0,1000.0,,Yacht gas
Anna A Lennen shipwreck (1944),1944,Cape May S 5 mi,Unknown,0,,,Trawler
Anna and Ella (1933) shipwreck (1933),1933,Loveladies,Grounded,0,10000.0,,Motor vessel
Anna and Ella (1936) shipwreck (1936),1936,Barnegat Light,"Collision w/ ""Edward Luckenbach""",6,10000.0,,Motor vessel
Anna Barton shipwreck (1876),1876,Hereford Inlet bar,Stranded,0,8000.0,2000.0,Schooner
Anna E Cranmer shipwreck (1885),1885,Sandy Hook Romer Shoal,Stranded,0,6000.0,2000.0,Schooner
Anna E Ketchum shipwreck (1900),1900,Unknown,Dismasted & sinking,0,5000.0,1500.0,Schooner
Anna E Young shipwreck (1932),1932,"Kearny, NJ",Burned,0,,,Steamship
Anna Elizabeth shipwreck (1884),1884,Absecon S 10 mi,Dismasted in storm,0,,,Schooner
Anna Jenkins shipwreck (1856),1856,Barnegat Shoal,Grounded,0,,,Schooner
Anna Murray shipwreck (1902),1902,"Indian River Inlet, DE",Unknown,0,,,Schooner 4 masted
Anna S II shipwreck (1945),1945,Bay Head,Burned,0,,,Motor vessel gas
Anna Shepard shipwreck (1875),1875,Barnegat,"Collision w/ ""Perkiomen""",0,,,Schooner
Anna Turner shipwreck (1868),1868,Townsends Inlet,Stranded,0,,,Schooner
