Vessel Name,Date of Wreck,Event,Location of wreck,Tonnage,Length (FT),Breadth (FT),depth (ft),Masts,Decks,Hull,Description,Story,Vessel Type,Type of event,Nature of Event,Cause of Event,Cargo,Lives Lost,Voyage from,Voyage To,Remarks,Built At,Date Built,Official Number,Registered at,Date Registered,Propulsion,Rig,Details
HMS Feversham - 1711,1711-10-07,Wrecked,Scaterie Island 20 miles from Louisbourg,,,,,,,,,,,,,,,,,,,,,,,,,,
Laura Ann - 1894,1894-07-01,Stranded,Scatarie Light (Scatarie Island),,,,,,,,,,,,,,,,,,,,,,,,,,
Spray Bloom - 1874,1874-08-10,Stranded,"Scatarie Ledges, east",,,,,,,,,,,,,,,,,,,,,,,,,,
Madge Wildfire - 1885,1885-01-01,Stranded,"Scatarie Island, Tin Cove",,,,,,,,,,,,,,,,,,,,,,,,,,
Mary - 1877,1877-11-15,Foundered,"Scatarie Island, south side of",,,,,,,,,,,,,,,,,,,,,,,,,,
Saltwell - 1873,1873-08-24,Foundered,"Scatarie Island, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Chester - 1875,1875-04-23,Foundered,"Scatarie Island, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Mayflower - 1886,1886-12-20,Foundered,"Scatarie Island, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Drake - 1905,1905-09-21,Foundered,"Scatarie Island, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Polar Land - 1919,1919-11-07,Foundered,"Scatarie Island, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Colombo - 1885,1885-07-11,Stranded,"Scatarie Island, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie Willet - 1892,1892-10-25,Wrecked,"Scatarie Island, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Cordelia - 1872,1872-08-10,Stranded,"Scatarie Island, ESE of",,,,,,,,,,,,,,,,,,,,,,,,,,
Carranza - 1930,1930-09-19,Foundered,"Scatarie Island, about 10 miles off",,,,,,,,,,,,,,,,,,,,,,,,,,
Daisy - 1899,1899-08-14,Foundered,"Scatarie Island, 75 miles from",,,,,,,,,,,,,,,,,,,,,,,,,,
Flora W. Sperry - 1907,1941-06-30,Foundered,"Scatarie Island, 45 miles ESE of",,,,,,,,,,,,,,,,,,,,,,,,,,
Floride - 1876,1876-10-20,Abandoned,"Scatarie Island, 40 miles SE of",,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey Lily - 1899,1899-01-29,Foundered,"Scatarie Island, 20 miles from",,,,,,,,,,,,,,,,,,,,,,,,,,
Humber - 1882,1882-06-01,Damaged,"Scatarie Island, 18 miles SSE of",,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah - 1881,1881-10-23,Stranded,"Scatarie Island, 15 miles E of",,,,,,,,,,,,,,,,,,,,,,,,,,
Judique - 1928,1928-11-11,Sank,"Scatarie Island, 14 miles E of",,,,,,,,,,,,,,,,,,,,,,,,,,
Henrietta - 1802,1802-01-01,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonidas - 1832,1832-08-08,Wrecked,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrea - 1833,1833-01-01,Wrecked,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Fidelity - 1834,1834-05-10,Wrecked,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
William Ewing - 1835,1835-06-17,Wrecked,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
John Thomas - 1848,1848-01-01,Wrecked,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Of The West - 1871,1871-05-07,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Gem - 1871,1871-11-22,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaper - 1873,1873-06-30,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta - 1873,1873-07-27,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Onward - 1873,1873-11-29,Foundered,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Iris - 1875,1875-11-02,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Cockran - 1876,1876-06-04,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezia - 1878,1878-06-27,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucco - 1879,1879-06-28,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Rothesay - 1884,1884-08-06,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Mildred - 1884,1884-12-25,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard - 1885,1885-01-29,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
A. E. Mcdonald - 1885,1885-07-01,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Annie Duncan - 1886,1886-09-09,Foundered,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnolia - 1886,1886-11-05,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Simpson - 1888,1888-11-06,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Evangeline - 1894,1894-01-01,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Amity - 1903,1903-04-08,Wrecked,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Leone - 1904,1904-05-01,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeanie Myrtle - 1907,1907-09-06,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Scepter - 1907,1907-10-21,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Roch - 1912,1912-04-28,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Cienfuegos - 1914,1914-07-10,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Yport - 1923,1923-09-30,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Admiral Drake - 1927,1927-11-26,Stranded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolyn A. - 1968,1968-12-22,Foundered,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Tammy Lynn Iv - 1980,1980-09-14,Grounded,Scatarie Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean Swell - 1973,1973-11-02,Foundered,Saulnierville,,,,,,,,,,,,,,,,,,,,,,,,,,
Osceola - 1896,1896-11-15,Stranded,Sandy Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Prince Alfred - 1868,1868-12-18,Stranded,Sandy Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Gladstone - 1902,1902-01-01,Stranded,"Sandy Cove, entrance to Liverpool Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Sepoy - 1842,1842-01-01,Stranded,"Sandy Cove, Digby Neck",,,,,,,,,,,,,,,,,,,,,,,,,,
Volante - 1831,1831-12-24,Wrecked,Sandy Cove,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah Ann - 1836,1836-09-03,Stranded,Sandy Cove,,,,,,,,,,,,,,,,,,,,,,,,,,
Perseverance - 1870,1870-11-11,Stranded,Sandy Cove,,,,,,,,,,,,,,,,,,,,,,,,,,
Onward - 1870,1870-09-04,Stranded,"Sandy Beach, near Chester",,,,,,,,,,,,,,,,,,,,,,,,,,
Grecian - 1902,1902-02-09,Wrecked,"Sandwich Point, Halifax Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
New Era - 1907,1907-12-15,Stranded,"Sandwich Point, Halifax Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Marianne - 1796,1796-08-12,Wrecked,Sandwich Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence - 1907,1907-10-01,Stranded,Sandford,,,,,,,,,,,,,,,,,,,,,,,,,,
J. K. Howard - 1875,1875-12-21,Stranded,"Sand Point, Yarmouth",,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine - 1883,1883-11-27,Stranded,"Sand Point, Strait of Canso",,,,,,,,,,,,,,,,,,,,,,,,,,
Tussle - 1920,1920-05-26,Stranded,"Sand Point, Strait of Canso",,,,,,,,,,,,,,,,,,,,,,,,,,
Viking - 1892,1892-10-14,Wrecked,"Sand Point, Shelburne",,,,,,,,,,,,,,,,,,,,,,,,,,
Victor - 1876,1876-10-01,Stranded,"Sand Point, Gut of Canso",,,,,,,,,,,,,,,,,,,,,,,,,,
Lida And Lizzie - 1881,1881-11-24,Stranded,"Sand Point, Gut of Canso",,,,,,,,,,,,,,,,,,,,,,,,,,
Carmenta - 1878,1878-11-19,Stranded,"Sand Point Shoal, Gut of Canso",,,,,,,,,,,,,,,,,,,,,,,,,,
Digby - 1877,1877-01-27,Stranded,"Sand Bend, Bunker Island, Yarmouth Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Lonisa - 1879,1879-11-28,Stranded,"Sand Beach, Louisbourg",,,,,,,,,,,,,,,,,,,,,,,,,,
Phopero - 1878,1878-06-24,Stranded,"Samson Rocks, S side of Scatarie Island",,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Atalante - 1813,1813-11-10,Wrecked,"Sambro, The Sisters",,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel - 1846,1846-02-24,Wrecked,"Sambro, The Sisters",,,,,,,,,,,,,,,,,,,,,,,,,,
Ethel M. Petite - 1948,1948-02-05,Stranded,"Sambro, on shoals off",,,,,,,,,,,,,,,,,,,,,,,,,,
Hope. - 1779,1779-11-08,Stranded,"Sambro, on ledge near Light",,,,,,,,,,,,,,,,,,,,,,,,,,
Maud M. Story - 1905,1905-11-20,Stranded,"Sambro, off breakers",,,,,,,,,,,,,,,,,,,,,,,,,,
James - 1778,1778-01-01,Wrecked,"Sambro, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Artemus Tirrell - 1896,1896-07-01,Wrecked,"Sambro, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Empire Sun - 1942,1942-01-01,Sank,"Sambro, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Keewatin - 1882,1882-02-11,Wrecked,"Sambro, Light bearing SSE distance 35 miles",,,,,,,,,,,,,,,,,,,,,,,,,,
Flora Alberta - 1943,1943-04-21,Collision,"Sambro, 90 miles E of lightship",,,,,,,,,,,,,,,,,,,,,,,,,,
Que Vive - 1874,1874-10-12,Sprung a leak,"Sambro, 6 miles from light",,,,,,,,,,,,,,,,,,,,,,,,,,
Flirt - 1937,1937-03-15,Collision,"Sambro, 4 miles E of",,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur - 1873,1873-08-21,Dismasted,"Sambro, 36 miles SW of",,,,,,,,,,,,,,,,,,,,,,,,,,
Orinoco - 1909,1909-08-18,Foundered,"Sambro, 25 miles SW of",,,,,,,,,,,,,,,,,,,,,,,,,,
Howards - 1881,1881-11-15,Collision,"Sambro, 22 miles SW of Light",,,,,,,,,,,,,,,,,,,,,,,,,,
Emma - 1881,1881-11-15,Collision,"Sambro, 22 miles SW from Light",,,,,,,,,,,,,,,,,,,,,,,,,,
Winnie - 1917,1917-06-11,Foundered,"Sambro, 2 miles S of light",,,,,,,,,,,,,,,,,,,,,,,,,,
Kolm - 1914,1914-06-05,Foundered,"Sambro, 15 miles SE of",,,,,,,,,,,,,,,,,,,,,,,,,,
Granby - 1771,1771-04-08,Wrecked,Sambro Shoal,,,,,,,,,,,,,,,,,,,,,,,,,,
Saucy Arethusa - 1929,1929-11-08,Stranded,Sambro Shoal,,,,,,,,,,,,,,,,,,,,,,,,,,
HMCS Otter - 1941,1941-03-26,Burnt,"Sambro Light, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Thistle - 1868,1868-10-19,Canvas blown to pieces,Sambro Light Cove,,,,,,,,,,,,,,,,,,,,,,,,,,
John Mcleod - 1825,1825-11-07,Sank,"Sambro Ledges, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Bohemian - 1920,1920-03-01,Stranded,"Sambro Island, on Broad Breaker Rock",,,,,,,,,,,,,,,,,,,,,,,,,,
Mark A. Tobin - 1917,1917-05-06,Stranded,"Sambro Island, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Lancaster - 1875,1875-10-02,Sprung a leak,"Sambro Island, 50 miles NW of",,,,,,,,,,,,,,,,,,,,,,,,,,
Lady Smith - 1845,1845-06-03,Wrecked,Sambro Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Max C. - 1914,1914-08-01,Stranded,Sambro Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Kempt - 1830,1830-01-01,Stranded,Sambro Head,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory - 1870,1870-12-27,Stranded,"Sambro Harbour, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Heather & Laura - 1980,1980-06-17,Wrecked,Sambro Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk - 1804,1804-01-01,Wrecked,Sambro,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Noir - 1870,1870-09-04,Stranded,Sambro,,,,,,,,,,,,,,,,,,,,,,,,,,
Leader - 1870,1870-09-04,Stranded,Sambro,,,,,,,,,,,,,,,,,,,,,,,,,,
Champion - 1872,1872-11-04,Loss of spars,Sambro,,,,,,,,,,,,,,,,,,,,,,,,,,
American Union - 1884,1884-10-02,Stranded,Sambro,,,,,,,,,,,,,,,,,,,,,,,,,,
Theresa - 1892,1892-07-03,Wrecked,Sambro,,,,,,,,,,,,,,,,,,,,,,,,,,
Lillian - 1896,1896-05-01,Wrecked,Sambro,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier - 1917,1917-06-02,Stranded,Sambro,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Jane - 1800,1800-01-01,Wrecked,"Salvages (Halfmoons) and Blanche Point, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Jane - 1893,1893-08-19,Stranded,Salmon Rocks (CB),,,,,,,,,,,,,,,,,,,,,,,,,,
Seafoam - 1893,1893-10-12,Foundered,"Salmon Rock, Gabarus Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Seafoam - 1896,1896-04-26,Stranded,"Salmon Rock, Gabarus Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Ada Pearl - 1916,1916-09-02,Stranded,"Salmon River, Bay of Fundy, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Rio - 1879,1879-01-09,Stranded,"Salmon River, 1 mile N of",,,,,,,,,,,,,,,,,,,,,,,,,,
Saladin - 1844,1844-05-21,Stranded,"Saladin Point, on Harbour Island near Country Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Edith L. Steere - 1874,1874-05-14,Stranded,Sailors Ledges,,,,,,,,,,,,,,,,,,,,,,,,,,
Havelock - 1903,1903-05-15,Stranded,Sable River Bar,,,,,,,,,,,,,,,,,,,,,,,,,,
Norma - 1876,1876-06-29,Stranded,"Sable Island, West end Lighthouse",,,,,,,,,,,,,,,,,,,,,,,,,,
C. U. Mader - 1903,1903-02-20,Foundered,"Sable Island, supposed near",,,,,,,,,,,,,,,,,,,,,,,,,,
Arcadia - 1854,1854-11-26,Wrecked,"Sable Island, southwest side of the northeast bar",,,,,,,,,,,,,,,,,,,,,,,,,,
Raffaele D. - 1896,1896-07-08,Wrecked,"Sable Island, south side, 4 miles east of",,,,,,,,,,,,,,,,,,,,,,,,,,
Charles H. Taylor - 1897,1897-04-17,Grounded,"Sable island, south side one mile east of No. 1 station",,,,,,,,,,,,,,,,,,,,,,,,,,
Zone - 1862,1862-05-07,Wrecked,"Sable Island, south side of northeast bar",,,,,,,,,,,,,,,,,,,,,,,,,,
Basil M. Geldert - 1906,1906-08-14,Stranded,"Sable Island, south side of northeast bar",,,,,,,,,,,,,,,,,,,,,,,,,,
Boys - 1872,1872-05-20,Stranded,"Sable Island, south side of",,,,,,,,,,,,,,,,,,,,,,,,,,
Highlander - 1874,1874-07-06,Stranded,"Sable Island, south side",,,,,,,,,,,,,,,,,,,,,,,,,,
Nashwauk - 1874,1874-07-28,Wrecked,"Sable Island, south side",,,,,,,,,,,,,,,,,,,,,,,,,,
Lord Bury - 1881,1881-10-30,Stranded,"Sable Island, south side",,,,,,,,,,,,,,,,,,,,,,,,,,
Williams - 1882,1882-03-04,Foundered,"Sable Island, south side",,,,,,,,,,,,,,,,,,,,,,,,,,
Robert J. Edwards - 1894,1894-01-16,Stranded,"Sable Island, south side",,,,,,,,,,,,,,,,,,,,,,,,,,
Nicosia - 1894,1894-07-30,Wrecked,"Sable Island, south side",,,,,,,,,,,,,,,,,,,,,,,,,,
Erie - 1912,1912-08-14,Stranded,"Sable Island, south side",,,,,,,,,,,,,,,,,,,,,,,,,,
Lota - 1915,1915-09-10,Stranded,"Sable Island, south of",,,,,,,,,,,,,,,,,,,,,,,,,,
Oriental - 1879,1879-03-31,Stranded,"Sable Island, SE side of",,,,,,,,,,,,,,,,,,,,,,,,,,
M. & E. Robbins - 1870,1870-02-24,Stranded,"Sable Island, S.S. (South Shore ?)",,,,,,,,,,,,,,,,,,,,,,,,,,
Moravia - 1899,1899-02-12,Wrecked,"Sable Island, S side of northeast bar, 6 miles from light",,,,,,,,,,,,,,,,,,,,,,,,,,
Heimdal - 1910,1910-06-18,Stranded,"Sable Island, on the south side",,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Delight - 1583,1583-08-29,Stranded,"Sable Island, on shoal near (?)",,,,,,,,,,,,,,,,,,,,,,,,,,
Labrador - 1925,1925-07-19,Stranded,"Sable Island, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Sylvia Mosher - 1926,1926-08-10,Stranded,"Sable Island, NW of",,,,,,,,,,,,,,,,,,,,,,,,,,
Stella Maria - 1866,1866-02-25,Grounded,"Sable Island, northwest bar",,,,,,,,,,,,,,,,,,,,,,,,,,
Reeves - 1876,1876-10-16,Wrecked,"Sable Island, northwest bar",,,,,,,,,,,,,,,,,,,,,,,,,,
Peasley - 1879,1879-04-01,Abandoned,"Sable Island, northwest bar",,,,,,,,,,,,,,,,,,,,,,,,,,
Stella Maris - 1901,1901-06-02,Wrecked,"Sable island, northeast wet bar",,,,,,,,,,,,,,,,,,,,,,,,,,
Mariner - 1898,1898-11-06,Wrecked,"Sable Island, northeast bar (wet), about 12 miles from light",,,,,,,,,,,,,,,,,,,,,,,,,,
Nisbis - 1855,1855-01-18,Wrecked,"Sable Island, northeast bar",,,,,,,,,,,,,,,,,,,,,,,,,,
Gladstone - 1874,1874-05-20,Stranded,"Sable Island, Northeast Bar",,,,,,,,,,,,,,,,,,,,,,,,,,
Yorkshire - 1882,1882-07-04,Stranded,"Sable Island, northeast bar",,,,,,,,,,,,,,,,,,,,,,,,,,
Henri Reuth - 1895,1895-11-27,Stranded,"Sable Island, northeast bar",,,,,,,,,,,,,,,,,,,,,,,,,,
Lizzie M. Stamwood - 1904,1904-02-14,Stranded,"Sable Island, north side near No. 2 station",,,,,,,,,,,,,,,,,,,,,,,,,,
Inglewood - 1893,1893-04-27,Wrecked,"Sable Island, north side near centre of island",,,,,,,,,,,,,,,,,,,,,,,,,,
Topaze - 1903,1903-10-05,Wrecked,"Sable Island, north side at No. 5 Station",,,,,,,,,,,,,,,,,,,,,,,,,,
Roby J. Edwards - 1894,1894-01-12,Wrecked,"Sable Island, north side",,,,,,,,,,,,,,,,,,,,,,,,,,
SS Laleham - 1984,1984-05-27,Stranded,"Sable Island, north side",,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming - 1873,1873-09-15,Stranded,"Sable Island, North East Bar",,,,,,,,,,,,,,,,,,,,,,,,,,
Henry - 1892,1892-05-12,Wrecked,"Sable Island, near East Light",,,,,,,,,,,,,,,,,,,,,,,,,,
SS Nerito - 1894,1894-09-11,Stranded,"Sable Island, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Crofton Hall - 1898,1898-04-17,Stranded,"Sable Island, NE Bar, south side, 3 miles E of light",,,,,,,,,,,,,,,,,,,,,,,,,,
Emma - 1878,1878-08-22,Stranded,"Sable Island, NE bar of",,,,,,,,,,,,,,,,,,,,,,,,,,
Lemberg - 1937,1937-09-12,Wrecked,"Sable Island, NE bar of",,,,,,,,,,,,,,,,,,,,,,,,,,
Bride - 1880,1880-11-28,Stranded,"Sable Island, NE bar",,,,,,,,,,,,,,,,,,,,,,,,,,
Bride - 1880,1880-12-08,Stranded,"Sable Island, NE Bar",,,,,,,,,,,,,,,,,,,,,,,,,,
Bolgeleg - 1882,1882-08-13,Stranded,"Sable Island, NE Bar",,,,,,,,,,,,,,,,,,,,,,,,,,
Britannia - 1883,1883-09-03,Stranded,"Sable Island, NE Bar",,,,,,,,,,,,,,,,,,,,,,,,,,
Damara - 1905,1905-02-04,Foundered,"Sable Island, N 49 W Mag. 108 miles west light",,,,,,,,,,,,,,,,,,,,,,,,,,
Americaine - 1822,1822-01-01,Wrecked,"Sable Island, in 72 feet of water off Wallace Lake",,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon - 1853,1853-06-01,Wrecked,"Sable Island, east wet bar",,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine - 1737,1737-07-17,Wrecked,"Sable Island, east end of island",,,,,,,,,,,,,,,,,,,,,,,,,,
Gondolier - 1880,1880-06-03,Stranded,"Sable Island, east end",,,,,,,,,,,,,,,,,,,,,,,,,,
Ironsides - 1876,1876-01-01,Stranded,"Sable Island, East Bar",,,,,,,,,,,,,,,,,,,,,,,,,,
Helen M. Corkum - 1923,1923-03-09,Foundered,"Sable Island, About 45 miles SSW of",,,,,,,,,,,,,,,,,,,,,,,,,,
La Bourgoyne - 1898,1898-07-04,Collision,"Sable Island, 60 miles south of",,,,,,,,,,,,,,,,,,,,,,,,,,
Thingvalla - 1888,1888-08-14,Collision,"Sable Island, 45 miles SW of",,,,,,,,,,,,,,,,,,,,,,,,,,
Uncle Sam - 1886,1886-04-24,Burnt,"Sable Island, 35 miles SW from",,,,,,,,,,,,,,,,,,,,,,,,,,
Uranus - 1912,1912-04-16,Collision,"Sable Island, 35 miles S of",,,,,,,,,,,,,,,,,,,,,,,,,,
Souvenir - 1887,1887-04-01,Seen on beam ends,"Sable Island, 20 miles SE of",,,,,,,,,,,,,,,,,,,,,,,,,,
George A. Wood - 1929,1929-12-30,Stranded,"Sable Island, 2 miles from lighthouse",,,,,,,,,,,,,,,,,,,,,,,,,,
Astrid W. - 1934,1934-07-24,Wrecked,"Sable Island, 130 miles ESE of",,,,,,,,,,,,,,,,,,,,,,,,,,
Jean & Mona - 1951,1951-09-12,Wrecked,"Sable Island, 128 miles from",,,,,,,,,,,,,,,,,,,,,,,,,,
American Union - 1893,1893-02-18,Foundered,"Sable Island, 100 miles E of",,,,,,,,,,,,,,,,,,,,,,,,,,
Skidby - 1905,1905-01-31,Stranded,"Sable Island, 1.5 miles SE of West Light",,,,,,,,,,,,,,,,,,,,,,,,,,
SS Harald Casper - 1926,1926-02-11,Stranded,"Sable Island, 1.5 miles from East Light",,,,,,,,,,,,,,,,,,,,,,,,,,
Esperanto - 1921,1921-01-01,Foundered,"Sable Island, 1 mile SW from",,,,,,,,,,,,,,,,,,,,,,,,,,
Mary And Jane - 1634,1634-01-01,Stranded,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Jerome - 1714,1714-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle - 1725,1725-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
John And Mary - 1725,1725-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Legere - 1747,1747-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Buchanen - 1757,1757-04-22,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Minehead - 1766,1766-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Swansey - 1771,1771-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Sophia - 1773,1773-01-01,Stranded,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora - 1777,1777-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Fame Murphy - 1779,1779-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane - 1780,1780-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Potowmack - 1781,1781-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Telemachus - 1786,1786-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Rambler - 1792,1792-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown - 1792,1792-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
La Feliz - 1792,1792-10-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb - 1795,1795-01-06,Stranded,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis - 1800,1800-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Princess Amelia - 1802,1802-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Union - 1802,1802-07-10,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Harriot - 1803,1803-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Stark Odder - 1804,1804-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphin - 1805,1805-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring - 1807,1807-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortune - 1811,1811-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Hard Times - 1811,1811-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Emulous - 1812,1812-08-03,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Barbadoes - 1812,1812-09-28,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Demascota - 1815,1815-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady Echo - 1816,1816-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Trafalgar - 1816,1816-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia - 1819,1819-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Juno - 1820,1820-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
L`africaine - 1822,1822-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Hope - 1823,1823-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
James - 1824,1824-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth - 1826,1826-01-01,Wrecked,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Nassau - 1826,1826-01-01,Unknown,Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
