shipsName,shipsOwner,yearBuilt,vesselType,dateLost,year,month,day,latitude,longitude,locationLost,causeOfLoss,departurePort,destinationPort
Always Late,,,Sport fishing boat,9/19/2009,2009.0,9,19,,,Cape May E 55 mi,Flooded; Sank,"Ocean City, MD",Fishing trip
Amagagoc,,,Morgan 41',5/20/1972,1972.0,5,20,,,Brigantine,Stranded,,
Amazing Grace,Wanchese Fishing Co,,Fishing trawler,11/15/1984,1984.0,11,15,,,"Ocean City, MD E 100 mi",Lost at sea,,
Amazon,,,Schooner,4/26/1851,1851.0,4,26,,,Barnegat NE 8 mi,"Collision w/ ""Kenebec""","New York, NY","Philadelphia, PA"
Amberjack III,Vincent Ardolino,1946,Fishing boat,7/13/1969,1969.0,7,13,,,Sandy Hook,"Collision w/ ""Tullahoma""","Sheepshead Bay, NY",Fishing trip
Ambrose Lightship,U S Coast Guard,,Lightship,3/28/1950,1950.0,3,28,,,Sandy Hook,"Rammed in fog by ""Santa Monica""",,
Ambrose Relief #505,U S Coast Guard,1904,Relief Lightship,6/24/1960,1960.0,6,24,40.45305,-73.81222,Ambrose Channel,"Collision w/ ""Green Bay""",,Lightship service
Ambrose Snow No 12,,,Pilot boat,5/13/1912,1912.0,5,13,,,New York Harbor Lower Bay,"Collision w/ ""Delaware""",,
Amelia (1811),,,Ship,2/16/1811,1811.0,2,16,,,Sandy Hook,Wrecked,England,"New York, NY"
Amelia (1860),,,Ship,3/20/1860,1860.0,3,20,39.29273,-74.54788,Great Egg Harbor bar,Stranded & bilged,"New Orleans, LA","New York, NY"
Amelia (1864),,,Bark,4/10/1864,1854.0,4,10,,,Long Beach Island,Grounded,"Demerara, British Guiana","New York, NY"
Amelia (1870),,,Schooner,2/11/1870,1870.0,2,11,,,Sandy Hook,Collision,"New York, NY",Virginia
Amelia (1924),Atlantic Naval Co,1906,Steamship,2/18/1924,1924.0,2,18,,,Brigantine Shoal,Stranded,,
Amelia Brewer,Welsh & Cower,1853,Bark,4/10/1864,1864.0,4,10,,,Townsends Inlet,Grounded,"New Orleans, LA","Boston, MA"
Amelia Furman,,,Schooner,11/28/1902,1902.0,11,28,,,"Long Branch, NJ","Pucntured, Bilged at anchor",,
Amelia Hodgkins,,,Schooner,3/3/1877,1877.0,3,3,,,Egg Harbor,Lost sails and masthead,Chesapeake,"Provincetown, MA"
Amelia P Schmidt (1886),,1883,Schooner,5/16/1886,1886.0,5,16,,,"Long Branch, NJ",Damaged in squall,Domingo City,"New York, NY"
Amelia P Schmidt (1887),,1883,Schooner,5/13/1887,1887.0,5,13,38.92268,-74.97720,Cape May LSS S 2 mi,Stranded,"Kennebec River, ME","Bridgeton, NJ"
Amelia P Starkey,Kelly et al,1853,Schooner,5/9/1855,1855.0,5,9,,,Highlands E 8 mi,Dismasted,,
Amelia Priest,,,Bark,10/29/1864,1864.0,10,29,,,Highlands SE 40 mi,"Collision w/ ""Kenneth""","Philadelphia, PA","Havre, France"
America (1855),,,Tug steam,2/1855,1855.0,2,,,,Cape May,In distress,,
America (1866),,,Steamship,10/5/1866,1855.0,10,5,,,Barnegat Shoal,Stranded,"Wilmington, DE","New York, NY"
America (1875),,1839,Sloop,3/19/1875,1875.0,3,19,,,Little Egg Harbor bar,Grounded,,
America (1879),,1839,Sloop,2/20/1879,1879.0,2,20,,,Little Egg Harbor,Stranded,,"New York, NY"
America (1910),,1907,Steamship,11/2/1910,1910.0,11,2,,,"Rancocas Creek, NJ",Burned,,
American (1851),,,Brig,4/4/1851,1851.0,4,4,,,Long Beach Island,Stranded; Bilged,"Savannah, GA","New York, NY"
American (1909),,1900,Freighter steam,12/21/1909,1909.0,12,21,,,Brigantine LSS SE 4 mi,Stranded,"Puerto, Mexico","New York, NY"
American (1913),Standard Oil Co of NJ,1892,Steamship,2/22/1913,1913.0,2,22,,,Sea Isle City LSS E .75 mi,Stranded,"Antwerp, Belgium","Philadelphia, PA"
American (1918),,,Transport,10/18/1918,1918.0,10,18,,,"Hoboken, NJ",Sank at pier,,
American (1925),,1898,Tanker barge,10/14/1925,1925.0,10,14,39.35295,-74.41231,Absecon Light,Stranded,,
American System,,,Schooner,9/12/1838,1838.0,9,12,,,Little Egg Harbor,Stranded in gale,Virginia,"New York, NY"
Amerika,,,Bark,12/26/1841,1841.0,12,26,,,Sandy Hook,Sank,"Trapani, Italy","New York, NY"
Amity,,1816,Packet ship,4/23/1824,1824.0,4,23,,,Squan Beach,Stranded in fog,"Liverpool, England","New York, NY"
Amos Briggs,,1868,Schooner,4/14/1921,1921.0,4,14,,,Sandy Hook,Stranded,,
Amy Keller,,,Tug,2/18/1940,1940.0,2,18,,,"Hoboken, NJ",Sank,,
Anastasia,Southern Transportation Co,1919,Barge,2/15/1933,1933.0,2,15,39.95000,-73.88333,Seaside Heights E 9 mi,Foundered,"Norfolk, VA","New York, NY"
Anderson (1863),,,Ship,9/7/1863,1863.0,9,7,39.36025,-74.41102,Absecon Beach,Grounded,"Lisbon, Portugal","New York, NY"
Anderson (1871),,,Sloop,3/16/1871,1871.0,3,16,,,Atlantic City Lighthouse,Stranded,"New York, NY",
Andes (1894),Atlas SS Co,1865,Steamship,1/22/1894,1894.0,1,22,39.58525,-74.06100,Little Egg Harbor S 4 mi,Stranded,"Sabanilla, Equador","New York, NY"
Andrea Doria,Societa di Navigazione Italia,1950,Passenger liner,7/25/1956,1956.0,7,25,40.49000,-69.85083,Nantucket Island SE 45 mi,"Collision w/ ""Stockholm""","Genoa, Italy","New York, NY"
Andrew,,,Merchantman,1820,1820.0,,,,,Barnegat Beach,Stranded,"Liverpool, England","Philadelphia, PA"
Andrew H Edwards,,1866,Schooner,6/28/1888,1888.0,6,28,39.88031,-74.08059,Island Beach LSS S 1 mi,Stranded,"Fairhaven, MA","Philadelphia, PA"
Andrew Jackson (1818),Rogers & Schermerhotn,,Sailing Ship,11/26/1818,1818.0,11,26,39.75431,-74.08407,Barnegat,Stranded,"Bristol, England","New York, NY"
Andrew Jackson (1821), ,,Ship,1821,1821.0, , ,39.60259,-74.20722,Barnegat Light,Stranded, , 
Andrew Nebinger,Phil Fitzpatrick & J May,1873,Schooner,3/12/1888,1888.0,3,12,,,Highlands Light,Collision,"Jacksonville, FL","New York, NY"
Andria Doria,Revolutionary Navy,,Brig,11/1777,1777.0,11,,,,Delaware River,Burned,,
Angelina,,,Brig,9/1853,1853.0,9,,,,Highlands SE 12 mi,Capsized,"Boston, MA","Philadelphia, PA"
Angelina Brewer,,,Bark,2/20/1864,1864.0,2,20,39.23895,-74.61177,Pecks Beach,Stranded,"New Orleans, LA","New York, NY"
Angeline Corning,,1852,Steamship,11/21/1872,1872.0,11,21,,,"Guttenberg, NJ",Burned,,
Angenoria,,,Schooner,11/29/1838,1838.0,11,29,,,Barnegat N 10 mi,Stranded,"Philadelphia, PA","New York, NY"
Angie and Irene,William Pegler & Sons,1957,Fishing boat,12/31/1962,1962.0,12,31,,,Cape May,Disabled in storm,"Atlantic City, NJ",Fishing service
Angie Predmore (1880),John Predmore,1869,Schooner,12/26/1880,1880.0,12,26,,,Little Beach,Stranded,,
Angie Predmore (1885),John Predmore,1869,Schooner,8/14/1885,1885.0,8,14,,,Absecon Inlet North shoal,Stranded,"Norfolk, VA","Derby, CT"
Angielena,,1900,Schooner,4/26/1904,1904.0,4,26,,,Sandy Hook Point,Stranded,,Fishing trip
Angora,,,Brig,12/1/1847,1847.0,12,1,,,Squan Inlet S 10.5 mi,Grounded; Bilged,"New York, NY","Philadelphia, PA"
Anita,James Henderson,1875,Brig,2/16/1885,1885.0,2,16,,,Cold Spring Inlet South bar,Stranded,Venezuela,"New York, NY"
Anita,Erling H Sanuelsen,1965,Cargo Bulk Carrirer,3/22/1973,1973.0,3,22,,,Cape May SE,Sank in huricane,"Newport News, VA","Hamburg, Grmany"
Anita Owen,Peck & Church,1855,Brig,12/1856,1856.0,12,,,,Delaware Bay,Lost spars; Jib boom,"Nuevitas, Cuba","New York, NY"
Ann (1847),,,Schooner,9/2/1847,1847.0,9,2,,,Absecon bar,Stranded,"Philadelphia, PA","Boston, MA"
Ann Carlet,Samuel Adams,1861,Schooner,1/2/1870,1870.0,1,2,,,Squan Beach,Grounded,"Baltimore, MD","Fall River, MA"
Ann Cooley (1888),,1853,Schooner,8/5/1888,1888.0,8,5,,,Little Egg Harbor,Grounded,"Croaton, NC","Atlantic City, NJ"
Ann Cooley (1889),,1853,Schooner,10/11/1889,1889.0,10,11,,,Barnegat Inlet,Grounded,"New York, NY","Atlantic City, NJ"
Ann Eliza B,,,Schooner,3/2/1856,1856.0,3,2,,,"Highlands, NJ",Wrecked,"Philadelphia, PA","Boston, MA"
Ann Elizabeth (1846),,,Schooner,9/8/1846,1846.0,9,8,,,Little Egg Harbor,Grounded,,
Ann Elizabeth (1852),,,Schooner,3/5/1852,1852.0,3,5,,,Hereford Inlet bar,Stranded & bilged,,
Ann H Hickman,Jeremiah Smith & Co,1875,Schooner,3/24/1878,1876.0,3,24,,,Sandy Hook,Struck sunken ship,"Philadelphia, PA","Portland, ME"
Ann Hooper,Eastern Transportation Co,1915,Schooner - Barge,2/7/1942,1942.0,2,7,39.46250,-74.29588,Brigantine Shoal,Foundered,,
Ann J Trainer,H W Derickson,1881,Schooner,9/6/1894,1894.0,9,6,,,Absecon,"Collision w/ ""S E Marvin""","Kennebec, ME","Philadelphia, PA"
Ann Jane,,,Brig,4/1808,1808.0,4,,,,Cape May,Stranded & bilged,,"Bordeaux, France"
Ann Jane Laughlin,,1863,Tug steam,4/14/1890,1890.0,4,14,,,Sandy Hook Bay,Burned,,
Ann Louisa Lockwood,,1869,Schooner,11/5/1884,1884.0,11,5,,,Hereford Inlet South bar,Grounded,"Boston, MA","Philadelphia, PA"
Ann Marie Tracy,,,Tug,10/1/1948,1948.0,10,1,,,Hudson River,"Collision w/ ""Eliza J Nicholson""",,
Ann S Brown,Fisk,1871,Schooner,5/20/1873,1873.0,5,20,,,Sandy Hook,Stranded,"Baltimore, MD","Boston, MA"
Ann S Cannon,James Nelson,1857,Schooner,9/4/1878,1878.0,9,4,,,Little Egg Harbor Inlet,Stranded,"Georgetown, DC","Pawtucket, RI"
Ann W Baker,,,Schooner,5/17/1853,1853.0,5,17,,,Five Fathom Bank Lightship N 2 mi,Sank,"Elizabeth City, NC","New York, NY"
Anna (1872),Perst & Co,1856,Brig,4/9/1872,1872.0,4,9,,,Highlands SSE 16 mi,"Collision w/ ""Narragansett""",Caribbean,"New York, NY"
Anna (1885),F Edge & Co,1873,Bark,7/7/1885,1885.0,7,7,,,Seabright LSS S .5 mi,Stranded,"Aracaju, Brazil","New York, NY"
Anna (1916),Suzie C Ogden,1887,Yacht gas,10/30/1916,1916.0,10,30,,,"Ocean City, NJ",Stranded,"Philadelphia, PA","Ocean City, NJ"
Anna A Lennen,,,Trawler,6/16/1944,1944.0,6,16,38.84305,-74.92777,Cape May S 5 mi,,,
Anna and Ella (1933),,1910,Motor vessel,3/7/1933,1933.0,3,7,,,Loveladies,Grounded,,Fishing service
Anna and Ella (1936),,1910,Motor vessel,1/23/1936,1936.0,1,23,,,Barnegat Light,"Collision w/ ""Edward Luckenbach""",,Fishing service
Anna Barton,George W Shepherd Jr,1867,Schooner,5/2/1876,1876.0,5,21,,,Hereford Inlet bar,Stranded,"Gardiner, ME","Philadelphia, PA"
Anna E Cranmer,A R Pharo,1866,Schooner,1/9/1885,1885.0,1,9,,,Sandy Hook Romer Shoal,Stranded,"Richmond, VA","New York, NY"
Anna E Ketchum,P M Wheaton,1874,Schooner,3/1/1900,1900.0,3,1,,,,Dismasted & sinking,"Philadelphia, PA","Jacksonville, FL"
Anna E Young,,1872,Steamship,5/21/1932,1932.0,5,21,,,"Kearny, NJ",Burned,,
Anna Elizabeth,,,Schooner,8/26/1884,1884.0,8,26,,,Absecon S 10 mi,Dismasted in storm,Harwick,"Philadelphia, PA"
Anna Jenkins,Potter,1851,Schooner,12/15/1856,1856.0,12,15,,,Barnegat Shoal,Grounded,,
Anna Murray,Clarence Birdsall,1899,Schooner 4 masted,2/17/1902,1902.0,2,17,38.59166,-75.05555,"Indian River Inlet, DE",,,
Anna S II,,1941,Motor vessel gas,9/7/1945,1945.0,9,7,,,Bay Head,Burned,,
Anna Shepard,,1858,Schooner,11/26/1875,1875.0,11,26,,,Barnegat,"Collision w/ ""Perkiomen""","Providence, RI","Wilmington, NC"
Anna Turner,,,Schooner,2/6/1868,1868.0,2,6,,,Townsends Inlet,Stranded,"New York, NY","Wilmington, NC"
Annabella,,,Schooner,9/9/1846,1846.0,9,9,,,Long Beach Island,Damaged in storm,"Jersey City, NJ",
Annapolis,T S Whitman,1873,Bark,12/5/1878,1878.0,12,5,,,Sandy Hook,Damaged in gale,,
Anne Antoinette,,,Schooner 3 masted,10/6/1924,1924.0,10,6,,,New Jersey coast,Burned,"St Pierre, France",Antilles
Anne Maria,,,Schooner,9/26/1847,1847.0,9,26,,,Beacon Light Inside,Grounded,"Philadelphia, PA","Chesapeake, MD"
Annie,,,Schooner,9/18/1893,1893.0,9,18,,,Squan Beach LSS S 1 mi,Grounded,"New York, NY",Delaware Bay
Annie and Reuben,John L Gross Corp,1891,Schooner,3/22/1943,1943.0,3,22,,,Seaside Park,Foundered,,Oyster Fishing
Annie E Embrey,Lovett Jennings & Co,1906,Barge,2/19/1908,1908.0,2,19,,,Barnegat,Stranded,"New York, NY","Chester, PA"
Annie E Fowler (1887),,1875,Schooner,1/20/1887,1887.0,1,20,39.39330,-74.39166,Absecon Inlet North bar,Stranded,"Atlantic City, NJ",Fishing cruise
Annie E Fowler (1892),,1875,Schooner,6/5/1892,1892.0,6,5,,,Atlantic City LSS S .5 mi,Stranded / Abandoned,"New York, NY","Atlantic City, NJ"
Annie E Pierce,,1886,Schooner,4/30/1887,1887.0,4,30,,,New Inlet bar,Grounded,"New York, NY","Atlantic City, NJ"
Annie Gardner,J W Gardner,1867,Brig,10/29/1880,1880.0,10,29,,,Five Fathom Bank,Sprang leak in gale,"St John, NB","Philadelphia, PA"
Annie Godfrey (1891),,1877,Schooner,12/11/1891,1891.0,12,11,,,Atlantic City LSS N .5 mi,Stranded,"Atlantic City, NJ","Atlantic City, NJ"
Annie Godfrey (1908),,1877,Schooner gas screw ,12/21/1908,1908.0,12,21,,,Atlantic City N .5 mi,,"Atlantic City, NJ","Atlantic City, NJ"
Annie L Palmer,,1874,Schooner,3/13/1882,1882.0,3,13,,,Island Beach LSS N 1 mi,Stranded,"Baracoa, Cuba","New York, NY"
Annie L Russell (1911),George Russell,1878,Schooner,10/11/1911,1911.0,10,11,,,Cape May 2 Mile Beach LSS SE 1.35 mi,Stranded,"Milton, DE","Cape May, NJ"
Annie L Russell (1912),George Russell,1878,Schooner,1/8/1912,1912.0,1,8,,,"Cape May, Tatham's Beach",Foundered,"Broadkill Creek, DE","Cold Spring, NJ"
Annie M Reynolds,,1882,Schooner,7/5/1884,1884.0,7,5,,,Great Egg Harbor Inlet,Stranded,"New York, NY","Frederica, DE"
Annie Megee,Young,1851,Schooner,10/29/1873,1873.0,10,29,,,Cape May,Stranded in gale,"Boston, MA","Philadelphia, PA"
Annie S Carll (1878),,1871,Schooner,1/30/1878,1878.0,1,30,,,Absecon Inlet North shoal,Stranded,"Rappahannock, VA","New York, NY"
Annie S Carll (1887),,1871,Schooner,10/26/1887,1887.0,10,26,,,Absecon Inlet North shoal,Grounded,"New York, NY","Barnegat City, NJ"
Annie S Carll (1888),,1871,Schooner,12/22/1888,1888.0,12,22,,,Absecon Inlet North shoal,Stranded,"New York, NY","New River, VA"
Anondale,,,Brig,12/7/1869,1869.0,12,7,40.05165,-74.03989,Squan Inlet S 3.5 mi,Sank,"Philadelphia, PA","Boston, MA"
Anson Stimson,Pigeon Hill Granite Co,1874,Schooner 3 masted,1/16/1881,1881.0,1,16,39.37884,-74.39656,Atlantic City LSS N 1.25 mi,Stranded in fog,"Macoris, San Domingo","New York, NY"
Antares,,,Brig,2/15/1846,1846.0,2,15,,,Shark River Beach,Stranded in gale,"Philadelphia, PA","Boston, MA"
Antelope,,,Sloop,3/1821,1821.0,3,,,,Cape May,Grounded,,"Savannah, GA"
Antilia,Bahama SS Co,1893,Steamship,12/23/1900,1900.0,12,23,,,Great Egg Harbor Inlet,Stranded,"Nassau, Bahamas","New York, NY"
Antilla,R C Elken,1890,Bark,3/29/1902,1902.0,3,29,39.59018,-74.21561,Long Beach LSS NE .5 mi,Stranded,"Montevideo, Uraguay","New York, NY"
Antilles,Ross & Sturderant,1863,Brig,11/17/1875,1875.0,11,17,,,Sandy Hook Romer Shoal,Stranded,"Perth Amboy, NJ","Portland, ME"
Antioch,J S Emery,1876,Bark,3/27/1913,1913.0,3,27,40.11185,-74.02981,Squan Beach LSS SSE 500 yds,Stranded,"Savannah, GA","New York, NY"
Antoinette Costa,C & B Costa,1868,Bark,10/11/1879,1879.0,10,11,,,Brigantine Beach LSS S 2 mi,Stranded,"Genoa, Italy","Baltimore, MD"
Antonio Mimbelli,,,Bark,9/22/1882,1882.0,9,22,,,Turtle Gut Inlet bar,Stranded,"Dunkirk, France",Delaware Breakwater
Aquehonga,,1912,Sidewheel steam,1/18/1935,1935.0,1,18,,,"Piermont, NJ",Foundered,,
Aquillo,,,Launch,8/3/1912,1912.0,8,3,,,Sandy Hook,Wrecked,,
Arabella (1842),,,Schooner,3/31/1842,1842.0,3,31,,,Long Beach Island,Stranded,"Franklin, LA","New York, NY"
Arabella (1846),,,Schooner,9/10/1846,1846.0,9,10,,,Long Beach Island,Stranded,,
Arabella (1857),,,Schooner,1/20/1857,1857.0,1,20,,,,Drifted out to sea,,
Aransas,T J Hooper,1919,Schooner - Barge,1/29/1928,1928.0,1,29,,,Barnegat Light,Foundered,,
Arbutus,,1903,Motor vessel,2/16/1924,1924.0,2,16,,,"Back Creek, NJ",Collision,,
Archer,R Lewis,1864,Bark,12/13/1877,1877.0,12,13,,,Sandy Hook SE 80 mi,Damaged in gale,"Buenos Aeris, Arg","New York, NY"
Archer & Reeves (011891),Henry C Burdge,1865,Schooner,1/24/1891,1891.0,1,24,,,Cape May,Leaking; in distress,"Norfolk, VA","New York, NY"
Archer & Reeves (071891),Henry C Burdge,1865,Schooner,7/27/1891,1891.0,7,27,,,Brigantine Shoal,Stranded,"New York, NY","Richmond, VA"
Arctic,,1874,Brig,11/23/1881,1881.0,11,23,40.11651,-74.02663,Squan Point LSS E 400 yds,Stranded & burned,"Trieste, Austria","New York, NY"
Ardmore,,1895,Schooner - Barge,4/16/1913,1913.0,4,16,,,Barnegat,Foundered,,
Arenetha A Shaw,Holmes & Loviou,1877,Schooner,12/6/1878,1878.0,12,6,,,Brigantine Shoal,Stranded,"Baltimore, MD","Hoboken, NJ"
Argean,G W Hall,1859,Bark,7/7/1863,1863.0,7,7,,,Brigantine Beach,Stranded,"New Orleans, LA","New York, NY"
Argene,, ,Bark,1865,1865.0,,,,,Brigantine Beach,Grounded,,
Argo,J S Lundberg,1865,Bark,4/21/1879,1879.0,4,21,,,"Ocean City, NJ",In distress,"Trepani, Italy","Philadelphia, PA"
Argyle,,,Bark,3/20/1851,1851.0,3,20,39.53641,-74.24705,Long Beach Island Bonds,Stranded,"Savannah, GA","Glasgow, Scotland"
Ariel Patterson,,1864,Pilot boat,3/4/1883,1883.0,3,4,,,Seabright E 1 mi,"Collision w/ ""Commonwealth""","New York, NY","Sea Bright, NJ"
Aries (1870),,,Steamship,12/23/1870,1870.0,12,23,,,Hereford Inlet bar,Grounded,"Boston, MA","Philadelphia, PA"
Aries (1871),,,Steamship,1/20/1871,1871.0,1,20,39.93888,-74.06666,"Cranberry Inlet, NJ",,,
Aries (1883),H Winson & Co,1862,Steamship,8/26/1883,1883.0,8,26,,,Sandy Hook,Broke prop shaft,"Fall River, MA","Philadelphia, PA"
Aries (1887),Boston & Philadelphia SS Co,1862,Steamship,1/24/1887,1887.0,1,24,,,Barnegat N 6 mi,Stranded,"Fall River, MA","Philadelphia, PA"
Aries (1914),,,Steamship,4/15/1914,1914.0,4,15,,,"Raritan Bay, NJ",Foundered,,
Arion,,,Bark,2/11/1852,1852.0,2,11,,,Squan Inlet S 11 mi,Damaged; Lost stern post,"New Orleans, LA","New York, NY"
Ariosa,,,Tug steam,1/4/1906,1906.0,1,4,,,Sandy Hook Romer Shoal,Grounded in storm,,
Aristocrat,Clark W. Stockbridge,1968,Trawler,1/20/1978,1978.0,1,20,,,"Point Pleasant, NJ",Grounded,"Manasquan Inlet, NJ","Manasquan Inlet, NJ"
Arkansas (1846),,,Schooner,2/15/1846,1846.0,2,15,,,Sandy Hook S 12 mi,Stranded in gale,"Elizabeth City, NC","New York, NY"
Arkansas (1928),Eastern Transportation Co,,Schooner - Barge,1/28/1928,1928.0,1,28,,,Barnegat Shoal,"Broke loose while in tow of ""Baldrock""",,
Arkwright,Spofford & Tileston,1855,Ship,2/5/1862,1862.0,2,5,,,"Long Branch, NJ",Grounded,,
Arlington,,,Schooner,8/17/1909,1909.0,8,17,,,Long Island,Stranded,"Boston, MA","New York, NY"
Armenia,,1872,Schooner,8/14/1878,1878.0,8,14,,,West Bay Whale Rock,Struck Rock/Stranded,"Providence, RI","Philadelphia, PA"
Armitage Bearly,,1863,Steamship,12/5/1918,1918.0,12,5,,,"Stone Harbor, NJ",Stranded,,
Arrow,,,Schooner,6/27/1903,1903.0,6,27,,,Atlantic City LSS NE .25 mi,,"Maurice River, NJ","Atlantic City, NJ"
Artensis,O Langa,1885,Ship,6/8/1916,1916.0,6,8,,,Seaside Park,Stranded,"Glasgow, Scotland","New York, NY"
Artful Dodger,,,Trawler,11/3/1985,1985.0,11,3,,,Avalon Channel,Grounded,,
Arthur,,1879,Schooner,6/16/1892,1892.0,6,16,,,Great Egg Harbor Inlet,Stranded,"Somers Point, NJ","Atlantic City, NJ"
Arthur D Bissell,,1881,Steamship,11/8/1910,1910.0,11,8,,,"Little Ferry, NJ",Burned,,
Arthur H,,1886,Schooner,12/6/1905,1905.0,12,6,,,"Keansburg, NJ",Burned,,
Arthur James,,1904,Schooner,4/29/1925,1925.0,4,29,,,Atlantic City SE 40 mi,Lost foremast & mainmast,,Fishing service
Arthur McArdle,George Fenimore,1891,Schooner,4/23/1904,1904.0,4,23,,,"Egg Island Reef, Bahamas",Stranded,"Philadelphia, PA","Havana, Cuba"
Artie Garwood,Van Brunt & Slaght,1862,Schooner,12/14/1879,1879.0,12,14,,,Monmouth Beach E 2 mi,Stranded in gale,"Philadelphia, PA","Boston, MA"
Artisa,,,Sloop,5/25/1883,1883.0,5,25,,,Barnegat Inlet,Dismasted in storm,"New York, NY","Silverton, NJ"
Arundel,,1902,Barge,4/9/1916,1916.0,4,9,,,Barnegat,Foundered,,
Arundo,N V Maats ZeeVaart,1930,Freighter,4/28/1942,1942.0,4,28,40.17361,-73.68250,Belmar E 15.5 mi,Torpedoed by U-136,"New York, NY","Alexandria, Egypt"
Asenath A Shaw (1878),,1878,Schooner,12/6/1878,1878.0,12,6,,,Brigantine Shoal,Grounded,"Providence, RI","Baltimore, MD"
Asenath A Shaw (1896),Joseph Holmes,1878,Schooner,2/6/1896,1896.0,2,6,,,Brigantine LSS S 300 yds,Stranded,"Providence, RI","Baltimore, MD"
Asenath A Shaw (1900),Joseph Holmes,1878,Schooner,10/7/1900,1900.0,10,7,,,NE Lightship NE 2 mi,"Collision w/ ""Hamilton""","Philadelphia, PA","Providence, RI"
Asfalto,,,Barge,3/12/1932,1932.0,3,12,40.35000,-73.76667,Monmouth Beach E 10 mi,Sank,,
Asher S Parker,,,Schooner,1/22/1892,1892.0,1,22,,,Barnegat Shoal,Stranded,"Little Egg Harbor, NJ","Toms River, NJ"
Ashland (1872),Mertopolitan SS Co.,1863,Steamship,9/25/1872,1872.0,9,25,,,Barnegat,Stranded,,
Ashland (1912),Reading Rail Co,1898,Schooner,2/12/1912,1912.0,2,12,,,Highlands SE 15 mi,,"Philadelphia, PA","Bath, ME"
Assistance,Royal Navy,,Man-o-war,12/1783,1783.0,12,,,,Sandy Hook Horseshoe,Stranded in blizard,,
Asterope,,,Brig,12/15/1870,1870.0,12,15,,,Sandy Hook E 75 mi,"Collision w/ ""Sharon""","Malaga, Spain","New York, NY"
Astronomer,T J Harrison,1859,,2/2/1872,1872.0,2,2,,,Sandy Hook,Damaged in a gale,"Calcutta, India","New York, NY"
Astros,,,Brig,1/7/1836,1836.0,1,7,,,Squan Beach,,,
Atlanta,Mallory,,Ship,1865,1865.0,,,,,Sandy Hook,Sank,,
Atlantic (1831),,,Brig,10/8/1831,1831.0,10,8,40.29166,-73.97500,"Long Branch, NJ",,,
Atlantic (1843),,,Schooner,9/9/1843,1843.0,9,9,,,Delaware Capes,Grounded,,
Atlantic (1921),,1899,Barge,11/28/1921,1921.0,11,28,,,"Seabright, NJ",Stranded,,
Atlantic City,Warren Webster,1912,Steamship,9/13/1914,1914.0,9,13,,,Absecon Inlet North shoal,Stranded in storm,"New York, NY","Atlantic City, NJ"
Atlantic Princess,Seaford Scallop Co,1980,Scalloper,12/14/1980,1980.0,12,14,,,Barnegat Light NE 45 mi,Capsized,"Seaford, VA",Fishing service
Atlantic Seal,,,Oil Exploration Vessel,7/8/1969,1969.0,7,8,,,Atlantic City,Fire,,
Atlantus,Colonel Jesse Rosenfeld,1918,Steamer Concrete ,6/8/1926,1926.0,6,8,38.94166,-74.97222,Cape May Point,,,
Atlas (1881),,,Brig,2/2/1881,1881.0,2,2,,,New York SE 90 mi,In distress,,
Atlas (1908),,1892,Steamship,2/18/1908,1908.0,2,18,,,Cape May Prissy Wicks Shoal,Stranded,"Baltimore, MD","Cold Spring, NJ"
Auburn,Savannah Line,1837,Packet ship,9/25/1847,1847.0,9,25,39.69174,-74.13736,Barnegat Light S 5 mi,Stranded,"New Orleans, LA","New York, NY"
Auburndale,,1880,Bark,12/22/1898,1898.0,12,22,,,Harvey Cedars LSS S 1.25 mi,Stranded in fog,"Buenos Aeris, Arg","New York, NY"
Auer,,,Schooner,3/16/1841,1841.0,3,16,,,"Long Branch, NJ",Stranded in storm,,
Augusta (1857),,,Steamship,7/1857,1857.0,7,,,,Delaware Capes,Caught in tornado,"Baltimore, MD","New York, NY"
Augusta (1861),,,Bark,4/1861,1861.0,4,,,,,Abandoned,"New York, NY",New Jersey
Augusta HMS (1777),Royal Navy,1763,Ship-of-the-line,10/23/1777,1777.0,10,23,,,"Gloucester, NJ",Grounded; burned,,In battle
Auguste,,,Bark,3/1/1881,1881.0,3,1,,,Sandy Hook Romer Shoal,Stranded,"Havana, Cuba","Boston, MA"
Augustina,,,Brig,2/3/1880,1880.0,2,3,40.35666,-73.94166,"Monmouth Beach, NJ",Stranded in storm,"Havana, Cuba","New York, NY"
Auntie,,,Sloop - Yacht,7/23/1905,1905.0,7,23,40.06612,-74.03836,Bayhead LSS E .25 mi,Grounded,"Brooklyn, NY","Barnegat, NJ"
Aurania,Cunard SS Line,1882,Steamship,9/14/1885,1885.0,9,14,,,Sandy Hook LSS E 1 mi,"Collision w/ ""Republic""",,
Aurelia,Breakwater Co,1892,Tug steam,8/25/1909,1909.0,8,25,,,Cold Spring Inlet North bar,Stranded,"Bellevue, DE","Cold Spring, NJ"
Aurora (1827),Robert Kermit,1823,Ship,11/7/1827,1827.0,11,7,,,Sandy Hook,Stranded,"Liverpool, England","New York, NY"
Aurora (1829),,,Brig,4/19/1829,1829.0,4,19,,,"Long Branch, NJ",Lost sails in gale,"Mobile, AL","New York, NY"
Aurora (1930),,1867,Motor vessel gas,8/21/1930,1930.0,8,21,,,"Long Branch, NJ",Stranded,,
Aurora I,,,Steamship,3/26/1885,1885.0,3,26,,,Sandy Hook LSS N 2.5 mi,Stranded,"New York, NY","Anjier, Venezuela"
